"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","button_pressed"
"9888.300000000745","<center><p>In this study, you will be trained to use two emotion regulation strategies. You will then practice using these strategies while viewing a series of images.</p><p><b>Please be aware that the images used in this study contain content that may be unpleasant or disturbing.</b></p><p>Your participation will take approximately 10 minutes. You will receive $2.00 as payment for your participation. <b>You must use a desktop or a laptop computer to complete this study. </b> By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <u>stanfordpsych251@gmail.com</u>. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </p><p>Press the spacebar to begin.</p></center>","32","html-keyboard-response","0","9890","0.0-0.0","2feds","",""
"21614.89999999851","<center><p>In this part of the study, you will view a series of pictures and try to change how you feel about each picture by changing the way you think about it. Some pictures might make you feel very negative, while other pictures might make you feel slightly negative or not negative at all. You will be able to choose between two ways or strategies that will help you feel less negative. The next section will explain both strategies and give you the opportunity to practice implementing them. It is important that you try to remember what you are supposed to do in each strategy.</p><p>Press the spacebar to continue.</p></center>","32","html-keyboard-response","1","31506","0.0-1.0","2feds","",""
"95564.30000000075","<center><p>The first strategy is called REAPPRAISAL. This means that you attend to the picture and try to change the meaning of it. That means you think of something to tell yourself about the picture that helps you feel less negative about it. For example, you could tell yourself something about the outcome of the picture, that whatever is going on will soon be resolved, or that help is on the way. You could also focus on a specific detail of the situation that may not be as bad as it first seemed. But we want you to stay focused on the picture and not think of random things that will make you feel better, but rather to change something about the picture that helps you to feel less negative about it. It is very important that when you reappraise you do not think that the picture is fake or a scene from a movie. Think of it as a real situation, and then change the meaning of it. <b>Once again, as soon as the picture is on the screen, keep focusing on the picture, but tell yourself something about it that makes you feel less negative; keep repeating it to yourself while the screen is up.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","2","127071","0.0-2.0","2feds","",""
"8677.20000000298","<center><p>Now you are going to practice using reappraisal. Once the picture comes up on the screen, please immediately start focusing your thoughts with the goal of feeling less negative, <b>Focus on the picture but think of the meaning of the picture in a way that will help you feel less negative about it.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","3","135749","0.0-3.0","2feds","",""
"48396.60000000149","","","survey-text","4","184153","0.0-4.0-0.0","2feds","{""Q0"":""I thought of soldiers in a practice instead of a real war.\n""}",""
"20918.10000000149","<center><p>Just to give you more ideas, other people thought that they are fighting for their families, they are protecting their country, they stand together for an important goal, their families will be proud of them.</p><p><b>Remember, as soon as the picture is on the screen, keep focusing on the picture but tell yourself something about it that makes you feel less negative, until it disappears from the screen.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","5","205063","0.0-4.0-1.0","2feds","",""
"52716.800000000745","","","survey-text","6","257782","0.0-4.0-2.0","2feds","{""Q0"":""I thought about the kid waiting for his parents to pick him up from school and they were almost there so he would smile""}",""
"31177.900000002235","<center><p>The second strategy is called DISTRACTION. This means that you try your best to feel less negative about the picture by thinking of something that is completely unrelated to the picture. There are a few ways you can do this. First, you can think about geometric shapes. For instance, if you see a bloody knife, you can think of a big yellow triangle. Second, you can imagine yourself doing everyday tasks, such as taking a shower or making coffee in the morning. Third, you can imagine your neighborhood or other familiar streets. You could use any one of these ways to distract yourself, which you think will work best in making you feel less negative. You do not have to use the same method to distract all the time. <b>However, it is important that you keep your eyes on the picture and not avert your gaze. As soon as the picture is on the screen, start focusing all of your thoughts on something that is completely unrelated to the picture. Once you have come up with a way to feel less negative, keep repeating it to yourself while the screen is up.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","7","288970","0.0-5.0","2feds","",""
"4572.900000002235","<center><p>Now you are going to practice using distraction. Once the picture comes up on the screen, please immediately start focusing and implementing that strategy.</p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","8","293544","0.0-6.0","2feds","",""
"43711.20000000298","","","survey-text","9","337257","0.0-7.0-0.0","2feds","{""Q0"":""I imagined a family getting reunited after they were separated which is a positive feeling.""}",""
"10942.199999999255","<center><p>Just to give you more ideas, other people thought of cars passing on a street they know, or about all the steps of making coffee, or about a red triangle. <b>Remember, the moment you see the picture on the screen, start focusing all your thoughts on the distracting object you chose.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","10","348200","0.0-7.0-1.0","2feds","",""
"46107.800000000745","","","survey-text","11","394309","0.0-7.0-2.0","2feds","{""Q0"":""I imagined the sun rising in all its glory giving it a emotionally neutral message.""}",""
"17841.699999999255","<center><p>We would now like you to practice using the two strategies you just learned. First, you will see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. Follow the instructions on the screen. The same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that is written under the picture. <b>Please look at the image for the entire time that it appears on the screen. After the time is up, the next image will appear automatically.</b></p><p>Press the spacebar to continue.</p></center>","32","html-keyboard-response","12","412153","0.0-8.0","2feds","",""
"4682.599999997765","iaps/2703hp.jpg","32","image-keyboard-response","13","416840","0.0-9.0-0.0","2feds","",""
"null","iaps/2703hp.jpg","null","image-keyboard-response","14","421856","0.0-9.0-1.0","2feds","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","422862","0.0-9.0-2.0","2feds","",""
"3061.900000002235","iaps/2120lp.jpg","32","image-keyboard-response","16","425925","0.0-9.0-0.1","2feds","",""
"null","iaps/2120lp.jpg","null","image-keyboard-response","17","430946","0.0-9.0-1.1","2feds","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","431950","0.0-9.0-2.1","2feds","",""
"3075","iaps/7521lp.jpg","32","image-keyboard-response","19","435026","0.0-10.0-0.0","2feds","",""
"null","iaps/7521lp.jpg","null","image-keyboard-response","20","440027","0.0-10.0-1.0","2feds","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","441035","0.0-10.0-2.0","2feds","",""
"2976.099999997765","iaps/3051hp.jpg","32","image-keyboard-response","22","444012","0.0-10.0-0.1","2feds","",""
"null","iaps/3051hp.jpg","null","image-keyboard-response","23","449024","0.0-10.0-1.1","2feds","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","450031","0.0-10.0-2.1","2feds","",""
