"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","button_pressed"
"6226","<center><p>In this study, you will be trained to use two emotion regulation strategies. You will then practice using these strategies while viewing a series of images.</p><p><b>Please be aware that the images used in this study contain content that may be unpleasant or disturbing.</b></p><p>Your participation will take approximately 10 minutes. You will receive $2.00 as payment for your participation. <b>You must use a desktop or a laptop computer to complete this study. </b> By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <u>stanfordpsych251@gmail.com</u>. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </p><p>Press the spacebar to begin.</p></center>","32","html-keyboard-response","0","6228","0.0-0.0","rblnc","",""
"6186.60000038147","<center><p>In this part of the study, you will view a series of pictures and try to change how you feel about each picture by changing the way you think about it. Some pictures might make you feel very negative, while other pictures might make you feel slightly negative or not negative at all. You will be able to choose between two ways or strategies that will help you feel less negative. The next section will explain both strategies and give you the opportunity to practice implementing them. It is important that you try to remember what you are supposed to do in each strategy.</p><p>Press the spacebar to continue.</p></center>","32","html-keyboard-response","1","12415","0.0-1.0","rblnc","",""
"45924.199999809265","<center><p>The first strategy is called REAPPRAISAL. This means that you attend to the picture and try to change the meaning of it. That means you think of something to tell yourself about the picture that helps you feel less negative about it. For example, you could tell yourself something about the outcome of the picture, that whatever is going on will soon be resolved, or that help is on the way. You could also focus on a specific detail of the situation that may not be as bad as it first seemed. But we want you to stay focused on the picture and not think of random things that will make you feel better, but rather to change something about the picture that helps you to feel less negative about it. It is very important that when you reappraise you do not think that the picture is fake or a scene from a movie. Think of it as a real situation, and then change the meaning of it. <b>Once again, as soon as the picture is on the screen, keep focusing on the picture, but tell yourself something about it that makes you feel less negative; keep repeating it to yourself while the screen is up.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","2","58344","0.0-2.0","rblnc","",""
"5641.39999961853","<center><p>Now you are going to practice using reappraisal. Once the picture comes up on the screen, please immediately start focusing your thoughts with the goal of feeling less negative, <b>Focus on the picture but think of the meaning of the picture in a way that will help you feel less negative about it.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","3","63987","0.0-3.0","rblnc","",""
"40546.2999997139","","","survey-text","4","104616","0.0-4.0-0.0","rblnc","{""Q0"":""These are American soldiers coming to help.""}",""
"5395.300000190735","<center><p>Just to give you more ideas, other people thought that they are fighting for their families, they are protecting their country, they stand together for an important goal, their families will be proud of them.</p><p><b>Remember, as soon as the picture is on the screen, keep focusing on the picture but tell yourself something about it that makes you feel less negative, until it disappears from the screen.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","5","110014","0.0-4.0-1.0","rblnc","",""
"37094.300000190735","","","survey-text","6","147113","0.0-4.0-2.0","rblnc","{""Q0"":""The baby got scared at a joke instead of laughing but he is fine.""}",""
"17391.400000095367","<center><p>The second strategy is called DISTRACTION. This means that you try your best to feel less negative about the picture by thinking of something that is completely unrelated to the picture. There are a few ways you can do this. First, you can think about geometric shapes. For instance, if you see a bloody knife, you can think of a big yellow triangle. Second, you can imagine yourself doing everyday tasks, such as taking a shower or making coffee in the morning. Third, you can imagine your neighborhood or other familiar streets. You could use any one of these ways to distract yourself, which you think will work best in making you feel less negative. You do not have to use the same method to distract all the time. <b>However, it is important that you keep your eyes on the picture and not avert your gaze. As soon as the picture is on the screen, start focusing all of your thoughts on something that is completely unrelated to the picture. Once you have come up with a way to feel less negative, keep repeating it to yourself while the screen is up.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","7","164510","0.0-5.0","rblnc","",""
"2408.9000000953674","<center><p>Now you are going to practice using distraction. Once the picture comes up on the screen, please immediately start focusing and implementing that strategy.</p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","8","166926","0.0-6.0","rblnc","",""
"11212.699999809265","","","survey-text","9","178147","0.0-7.0-0.0","rblnc","{""Q0"":""Peeling a banana""}",""
"5317.400000095367","<center><p>Just to give you more ideas, other people thought of cars passing on a street they know, or about all the steps of making coffee, or about a red triangle. <b>Remember, the moment you see the picture on the screen, start focusing all your thoughts on the distracting object you chose.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","10","183465","0.0-7.0-1.0","rblnc","",""
"15311.800000190735","","","survey-text","11","198789","0.0-7.0-2.0","rblnc","{""Q0"":""Watching the sun rise""}",""
"15398.699999809265","<center><p>We would now like you to practice using the two strategies you just learned. First, you will see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. Follow the instructions on the screen. The same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that is written under the picture. <b>Please look at the image for the entire time that it appears on the screen. After the time is up, the next image will appear automatically.</b></p><p>Press the spacebar to continue.</p></center>","32","html-keyboard-response","12","214188","0.0-8.0","rblnc","",""
"1586.9000000953674","iaps/2703hp.jpg","32","image-keyboard-response","13","215802","0.0-9.0-0.0","rblnc","",""
"null","iaps/2703hp.jpg","null","image-keyboard-response","14","220807","0.0-9.0-1.0","rblnc","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","221812","0.0-9.0-2.0","rblnc","",""
"1047.3000001907349","iaps/2120lp.jpg","32","image-keyboard-response","16","222865","0.0-9.0-0.1","rblnc","",""
"null","iaps/2120lp.jpg","null","image-keyboard-response","17","227869","0.0-9.0-1.1","rblnc","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","228871","0.0-9.0-2.1","rblnc","",""
"1386.6999998092651","iaps/7521lp.jpg","32","image-keyboard-response","19","230259","0.0-10.0-0.0","rblnc","",""
"null","iaps/7521lp.jpg","null","image-keyboard-response","20","235265","0.0-10.0-1.0","rblnc","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","236268","0.0-10.0-2.0","rblnc","",""
"819.4000000953674","iaps/3051hp.jpg","32","image-keyboard-response","22","237097","0.0-10.0-0.1","rblnc","",""
"null","iaps/3051hp.jpg","null","image-keyboard-response","23","242104","0.0-10.0-1.1","rblnc","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","243111","0.0-10.0-2.1","rblnc","",""
"10009.199999809265","<center><p>In this task, we want you to <b>choose</b> between the two strategies that you just learned for each picture that you see. Like in the previous part of the study, you will see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. You will then <b>select which regulation strategy to use</b> using buttons at the bottom of the screen. As soon as you select the strategy, the same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that you selected.</p><p>There are no right or wrong answers, so do not be concerned about keeping a balance between your choices. You can choose whatever strategies you want during the task. This is completely your choice. Consider both strategies and pick the one that you think will make you feel less negative. Make your choice and start controlling your emotions when you see the image appear again. <b>It is important that you keep your eyes on the picture and not avert your gaze.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","25","253122","0.0-11.0","rblnc","",""
"2988.0999999046326","iaps/9921hp.jpg","","image-button-response","26","256118","0.0-12.0-0.0","rblnc","","1"
"null","iaps/9921hp.jpg","null","image-keyboard-response","27","261121","0.0-12.0-1.0","rblnc","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","262124","0.0-12.0-2.0","rblnc","",""
"3771.7999997138977","iaps/9145lp.jpg","","image-button-response","29","265897","0.0-12.0-0.1","rblnc","","0"
"null","iaps/9145lp.jpg","null","image-keyboard-response","30","270902","0.0-12.0-1.1","rblnc","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","271905","0.0-12.0-2.1","rblnc","",""
"2943.7000002861023","iaps/3181hp.jpg","","image-button-response","32","274852","0.0-12.0-0.2","rblnc","","1"
"null","iaps/3181hp.jpg","null","image-keyboard-response","33","279857","0.0-12.0-1.2","rblnc","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","280859","0.0-12.0-2.2","rblnc","",""
"1561","iaps/8231lp.jpg","","image-button-response","35","282422","0.0-12.0-0.3","rblnc","","1"
"null","iaps/8231lp.jpg","null","image-keyboard-response","36","287425","0.0-12.0-1.3","rblnc","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","288428","0.0-12.0-2.3","rblnc","",""
