"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","button_pressed"
"8218.200000047684","<center><p>In this study, you will be trained to use two emotion regulation strategies. You will then practice using these strategies while viewing a series of images.</p><p><b>Please be aware that the images used in this study contain content that may be unpleasant or disturbing.</b></p><p>Your participation will take approximately 10 minutes. You will receive $2.00 as payment for your participation. <b>You must use a desktop or a laptop computer to complete this study. </b> By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <u>stanfordpsych251@gmail.com</u>. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </p><p>Press the spacebar to begin.</p></center>","32","html-keyboard-response","0","8220","0.0-0.0","ssrzw","",""
"18123.799999952316","<center><p>In this part of the study, you will view a series of pictures and try to change how you feel about each picture by changing the way you think about it. Some pictures might make you feel very negative, while other pictures might make you feel slightly negative or not negative at all. You will be able to choose between two ways or strategies that will help you feel less negative. The next section will explain both strategies and give you the opportunity to practice implementing them. It is important that you try to remember what you are supposed to do in each strategy.</p><p>Press the spacebar to continue.</p></center>","32","html-keyboard-response","1","26344","0.0-1.0","ssrzw","",""
"32575.400000095367","<center><p>The first strategy is called REAPPRAISAL. This means that you attend to the picture and try to change the meaning of it. That means you think of something to tell yourself about the picture that helps you feel less negative about it. For example, you could tell yourself something about the outcome of the picture, that whatever is going on will soon be resolved, or that help is on the way. You could also focus on a specific detail of the situation that may not be as bad as it first seemed. But we want you to stay focused on the picture and not think of random things that will make you feel better, but rather to change something about the picture that helps you to feel less negative about it. It is very important that when you reappraise you do not think that the picture is fake or a scene from a movie. Think of it as a real situation, and then change the meaning of it. <b>Once again, as soon as the picture is on the screen, keep focusing on the picture, but tell yourself something about it that makes you feel less negative; keep repeating it to yourself while the screen is up.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","2","58920","0.0-2.0","ssrzw","",""
"8470.300000190735","<center><p>Now you are going to practice using reappraisal. Once the picture comes up on the screen, please immediately start focusing your thoughts with the goal of feeling less negative, <b>Focus on the picture but think of the meaning of the picture in a way that will help you feel less negative about it.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","3","67391","0.0-3.0","ssrzw","",""
"19047.200000047684","","","survey-text","4","86446","0.0-4.0-0.0","ssrzw","{""Q0"":""fighting for freedom""}",""
"8446.300000190735","<center><p>Just to give you more ideas, other people thought that they are fighting for their families, they are protecting their country, they stand together for an important goal, their families will be proud of them.</p><p><b>Remember, as soon as the picture is on the screen, keep focusing on the picture but tell yourself something about it that makes you feel less negative, until it disappears from the screen.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","5","94894","0.0-4.0-1.0","ssrzw","",""
"15062.5","","","survey-text","6","109957","0.0-4.0-2.0","ssrzw","{""Q0"":""he just woke up""}",""
"28897.39999985695","<center><p>The second strategy is called DISTRACTION. This means that you try your best to feel less negative about the picture by thinking of something that is completely unrelated to the picture. There are a few ways you can do this. First, you can think about geometric shapes. For instance, if you see a bloody knife, you can think of a big yellow triangle. Second, you can imagine yourself doing everyday tasks, such as taking a shower or making coffee in the morning. Third, you can imagine your neighborhood or other familiar streets. You could use any one of these ways to distract yourself, which you think will work best in making you feel less negative. You do not have to use the same method to distract all the time. <b>However, it is important that you keep your eyes on the picture and not avert your gaze. As soon as the picture is on the screen, start focusing all of your thoughts on something that is completely unrelated to the picture. Once you have come up with a way to feel less negative, keep repeating it to yourself while the screen is up.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","7","138856","0.0-5.0","ssrzw","",""
"2837.4000000953674","<center><p>Now you are going to practice using distraction. Once the picture comes up on the screen, please immediately start focusing and implementing that strategy.</p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","8","141694","0.0-6.0","ssrzw","",""
"10891.699999809265","","","survey-text","9","152587","0.0-7.0-0.0","ssrzw","{""Q0"":""blue mountains""}",""
"37444.59999990463","<center><p>Just to give you more ideas, other people thought of cars passing on a street they know, or about all the steps of making coffee, or about a red triangle. <b>Remember, the moment you see the picture on the screen, start focusing all your thoughts on the distracting object you chose.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","10","190032","0.0-7.0-1.0","ssrzw","",""
"6717.099999904633","","","survey-text","11","196751","0.0-7.0-2.0","ssrzw","{""Q0"":""yellow circle""}",""
"14719.700000047684","<center><p>We would now like you to practice using the two strategies you just learned. First, you will see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. Follow the instructions on the screen. The same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that is written under the picture. <b>Please look at the image for the entire time that it appears on the screen. After the time is up, the next image will appear automatically.</b></p><p>Press the spacebar to continue.</p></center>","32","html-keyboard-response","12","211471","0.0-8.0","ssrzw","",""
"2801.600000143051","iaps/2120lp.jpg","32","image-keyboard-response","13","214275","0.0-9.0-0.0","ssrzw","",""
"null","iaps/2120lp.jpg","null","image-keyboard-response","14","219277","0.0-9.0-1.0","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","220278","0.0-9.0-2.0","ssrzw","",""
"3513.4000000953674","iaps/2703hp.jpg","32","image-keyboard-response","16","223792","0.0-9.0-0.1","ssrzw","",""
"null","iaps/2703hp.jpg","null","image-keyboard-response","17","228796","0.0-9.0-1.1","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","229808","0.0-9.0-2.1","ssrzw","",""
"1975","iaps/7521lp.jpg","32","image-keyboard-response","19","231785","0.0-10.0-0.0","ssrzw","",""
"null","iaps/7521lp.jpg","null","image-keyboard-response","20","236787","0.0-10.0-1.0","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","237795","0.0-10.0-2.0","ssrzw","",""
"3326","iaps/3051hp.jpg","32","image-keyboard-response","22","241123","0.0-10.0-0.1","ssrzw","",""
"null","iaps/3051hp.jpg","null","image-keyboard-response","23","246124","0.0-10.0-1.1","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","247136","0.0-10.0-2.1","ssrzw","",""
"7523.900000095367","<center><p>In this task, we want you to <b>choose</b> between the two strategies that you just learned for each picture that you see. Like in the previous part of the study, you will see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. You will then <b>select which regulation strategy to use</b> using buttons at the bottom of the screen. As soon as you select the strategy, the same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that you selected.</p><p>There are no right or wrong answers, so do not be concerned about keeping a balance between your choices. You can choose whatever strategies you want during the task. This is completely your choice. Consider both strategies and pick the one that you think will make you feel less negative. Make your choice and start controlling your emotions when you see the image appear again. <b>It is important that you keep your eyes on the picture and not avert your gaze.</b></p><p>Press the spacebar to continue</p></center>","32","html-keyboard-response","25","254661","0.0-11.0","ssrzw","",""
"8885.099999904633","iaps/8231lp.jpg","","image-button-response","26","263547","0.0-12.0-0.0","ssrzw","","1"
"null","iaps/8231lp.jpg","null","image-keyboard-response","27","268548","0.0-12.0-1.0","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","269563","0.0-12.0-2.0","ssrzw","",""
"4270.400000095367","iaps/3181hp.jpg","","image-button-response","29","273835","0.0-12.0-0.1","ssrzw","","0"
"null","iaps/3181hp.jpg","null","image-keyboard-response","30","278836","0.0-12.0-1.1","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","279841","0.0-12.0-2.1","ssrzw","",""
"2762.699999809265","iaps/9921hp.jpg","","image-button-response","32","282605","0.0-12.0-0.2","ssrzw","","1"
"null","iaps/9921hp.jpg","null","image-keyboard-response","33","287619","0.0-12.0-1.2","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","288632","0.0-12.0-2.2","ssrzw","",""
"2098","iaps/9145lp.jpg","","image-button-response","35","290732","0.0-12.0-0.3","ssrzw","","1"
"null","iaps/9145lp.jpg","null","image-keyboard-response","36","295745","0.0-12.0-1.3","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","296762","0.0-12.0-2.3","ssrzw","",""
"8280.299999952316","<center><p>You will now see a series of pictures and choose between the two strategies, exactly as you did in the previous task. Again, you will first see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. You will then <b>select which regulation strategy to use</b> using buttons at the bottom of the screen. As soon as you select the strategy, the same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that you selected.</p><p>There are no right or wrong answers, so do not be concerned about keeping a balance between your choices. You can choose whatever strategies you want during the task. This is completely your choice. Consider both strategies and pick the one that you think will make you feel less negative. Make your choice and start controlling your emotions when you see the image appear again. <b>It is important that you keep your eyes on the picture and not avert your gaze.</b></p><p>Press the spacebar to continue.</p></center>","32","html-keyboard-response","38","305043","0.0-13.0","ssrzw","",""
"5953.5","iaps/6190l.JPG","","image-button-response","39","310998","0.0-14.0-0.0","ssrzw","","0"
"null","iaps/6190l.JPG","null","image-keyboard-response","40","316013","0.0-14.0-1.0","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","317024","0.0-14.0-2.0","ssrzw","",""
"2383.2000000476837","iaps/9102l.JPG","","image-button-response","42","319409","0.0-14.0-0.1","ssrzw","","0"
"null","iaps/9102l.JPG","null","image-keyboard-response","43","324413","0.0-14.0-1.1","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","325423","0.0-14.0-2.1","ssrzw","",""
"2333.2000000476837","iaps/3530h.JPG","","image-button-response","45","327757","0.0-14.0-0.2","ssrzw","","1"
"null","iaps/3530h.JPG","null","image-keyboard-response","46","332764","0.0-14.0-1.2","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","333775","0.0-14.0-2.2","ssrzw","",""
"2083.7000000476837","iaps/9252h.jpg","","image-button-response","48","335861","0.0-14.0-0.3","ssrzw","","1"
"null","iaps/9252h.jpg","null","image-keyboard-response","49","340869","0.0-14.0-1.3","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","341879","0.0-14.0-2.3","ssrzw","",""
"2120.9000000953674","iaps/3230h.JPG","","image-button-response","51","344001","0.0-14.0-0.4","ssrzw","","1"
"null","iaps/3230h.JPG","null","image-keyboard-response","52","349013","0.0-14.0-1.4","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","350019","0.0-14.0-2.4","ssrzw","",""
"2262.5999999046326","iaps/2278l.jpg","","image-button-response","54","352283","0.0-14.0-0.5","ssrzw","","0"
"null","iaps/2278l.jpg","null","image-keyboard-response","55","357296","0.0-14.0-1.5","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","358306","0.0-14.0-2.5","ssrzw","",""
"2793.2999999523163","iaps/6831h.jpg","","image-button-response","57","361100","0.0-14.0-0.6","ssrzw","","1"
"null","iaps/6831h.jpg","null","image-keyboard-response","58","366103","0.0-14.0-1.6","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","367111","0.0-14.0-2.6","ssrzw","",""
"2239.2999999523163","iaps/2490l.JPG","","image-button-response","60","369351","0.0-14.0-0.7","ssrzw","","0"
"null","iaps/2490l.JPG","null","image-keyboard-response","61","374368","0.0-14.0-1.7","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","375375","0.0-14.0-2.7","ssrzw","",""
"1955.2000000476837","iaps/9470l.jpg","","image-button-response","63","377333","0.0-14.0-0.8","ssrzw","","1"
"null","iaps/9470l.jpg","null","image-keyboard-response","64","382337","0.0-14.0-1.8","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","65","383344","0.0-14.0-2.8","ssrzw","",""
"1966.0999999046326","iaps/3150h.JPG","","image-button-response","66","385312","0.0-14.0-0.9","ssrzw","","1"
"null","iaps/3150h.JPG","null","image-keyboard-response","67","390324","0.0-14.0-1.9","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","391336","0.0-14.0-2.9","ssrzw","",""
"1829.2999999523163","iaps/1301l.jpg","","image-button-response","69","393166","0.0-14.0-0.10","ssrzw","","0"
"null","iaps/1301l.jpg","null","image-keyboard-response","70","398180","0.0-14.0-1.10","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","399192","0.0-14.0-2.10","ssrzw","",""
"1773.5","iaps/9160l.JPG","","image-button-response","72","400967","0.0-14.0-0.11","ssrzw","","0"
"null","iaps/9160l.JPG","null","image-keyboard-response","73","405969","0.0-14.0-1.11","ssrzw","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","406981","0.0-14.0-2.11","ssrzw","",""
"3900.2000000476837","iaps/2053h.JPG","","image-button-response","75","410882","0.0-14.0-0.12","ssrzw","","1"
"null","iaps/2053h.JPG","null","image-keyboard-response","76","415898","0.0-14.0-1.12","ssrzw","",""
